
02000000001609Z13        1740060612
02000000001609Z14           0060612
02000000001609Z15           0060612
02000000001609Z16           0060612
02000000002000X01           0060612
02000000002000X02         333060612
02000000002000Z99        2468060612
02000000002000V87           0060612
02000000002000X06        2468060612
02000000002000X05           0060612
02000000002000Z98           0060612
02000000002000Z72        1133060612
02000000002000Z73           0060612
02000000002000X08        73100606AC
02000000002000Z97           00606NR
02000000002000Z96        5269060612
02000000002000Z95           0060612
02000000002000X11        4979060612
02000000002000X12           0060612
02000000002000Z93         212060612
02000000002000Z92           00606NR
02000000002000Z91           00606NR
02000000002000Z90           0060612
02000000002000Z88          45060612
02000000002000Z87           0060612
02000000002000Z68           0060612
02000000002000X21          45060612
02000000002000Z89        26700606AD
02000000002000X33        78340606AD
02000000002000X30       105040606AD
02000000002000X42           0060612
02000000002000Z84           0060612
02000000002000X35          290606AD
02000000002000Z83           0060612
02000000002000X44       163590606AC
02000000002000X46           0060612
02000000002000X47       12064060612
02000000002000Z82       12064060612
02000000002000Z81       874560606AC
02000000002000Z78       31441060612
02000000002000Z77       17043060612
02000000002000Z76          66060612
02000000002000Z75           0060612
02000000002000Z01          66060612
02000000002000Z02           7060612
02000000002000Z03          70060612
02000000002000Z04           10606AD
02000000002000Z05          15060612
02000000002000Z06           0060612
02000000002000Z07           0060612
02000000002000Z08      329590060612
02000000002000Z09        68140606AD
02000000002000Z10       42652060612
02000000002000Z11           0060612
02000000002000Z12           0060612
02000000002000Z74           00606NR
02000000002000V01           00606NR
02000000002000V02           00606NR
02000000002000V03           00606NR
02000000002000V04           00606NR
02000000002000V05           00606NR
02000000002000V07           00606NR
02000000002000Z71         9080606AC
02000000002000Z62        9248060612
02000000002000Z63        7795060612
02000000002000Z70       16330060612
02000000002000Z13        4467060612
02000000002000Z14           0060612
02000000002000Z15         512060612
02000000002000Z16           0060612
02200200110000X01           5060611
02200200110000X04          11060611
02200200110000X05           0060611
02200200110000Z72        1552060611
02200200110000Z73          26060611
02200200110000X08       266620606AC
02200200110000Z97           00606NR
02200200110000Z96       18676060611
02200200110000Z95           0060611
02200200110000X11       23961060611
02200200110000X12           0060611
02200200110000Z93        2291060611
02200200110000Z92           00606NR
02200200110000Z91           00606NR
02200200110000Z90           0060611
02200200110000Z88        6455060611
02200200110000Z87           0060611
02200200110000Z68           0060611
02200200110000X21        6455060611
02200200110000Z89       15153060611
02200200110000X33         782060611
02200200110000X30       15935060611
02200200110000X42          69060611
02200200110000Z84           0060611
02200200110000X35           0060611
02200200110000Z83       40645060611
02200200110000X44      107007060611
02200200110000X46       20534060611
02200200110000X47       14653060611
02200200110000Z82       35187060611
02200200110000Z81      3952480606AE
02200200110000Z78      141581060611
02200200110000Z77       89014060611
02200200110000Z01         144060611
02200200110000Z02          13060611
02200200110000Z03         424060611
02200200110000Z04         131060611
02200200110000Z05          54060611
02200200110000Z06           0060611
02200200110000Z07           0060611
02200200110000Z08     1499748060611
02200200110000Z09      380673060611
02200200110000Z10      126504060611
02200200110000Z11           0060611
02200200110000Z12           0060611
02200200110000Z74           00606NR
02200200110000V01           00606NR
02200200110000V02           00606NR
02200200110000V03           00606NR
02200200110000V04           00606NR
02200200110000V05           00606NR
02200200110000V07           00606NR
02200200110000Z71        6408060611
02200200110000Z62       41420060611
02200200110000Z63       47594060611
02200200110000Z70       66362060611
02200200110000Z13       17934060611
02200200110000Z14        4506060611
02200200110000Z15        1516060611
02200200110000Z16           5060611
03000000007801X01       80791060612
03000000007801X02        4234060612
03000000007801Z99       15878060612
03000000007801V87           0060612
03000000007801X06       15878060612
03000000007801X05      111341060612
03000000007801Z98           0060612
03000000007801Z72       55502060612
03000000007801Z73         9740606AE
03000000007801X08      4454190606AC
03000000007801Z97           00606NR
03000000007801Z96      302330060612
03000000007801Z95           0060612
03000000007801X11      284028060612
03000000007801X12        7226060612
03000000007801Z93        3794060612
03000000007801Z92           00606NR
03000000007801Z91           00606NR
03000000007801Z90           0060612
03000000007801Z88           0060612
03000000007801Z87           0060612
03000000007801Z68      236315060612
03000000007801X21      236315060612
03000000007801Z89       67364060612
03000000007801X33       37366060612
03000000007801X30      104730060612
03000000007801X42           0060612
03000000007801Z84           0060612
03000000007801X35           0060612
03000000007801Z83           0060612
03000000007801X44           0060612
03000000007801X46        3581060612
03000000007801X47      162164060612
03000000007801Z82      165745060612
03000000007801Z81     4880208060612
03000000007801Z78     3436622060612
03000000007801Z77      936796060612
03000000007801Z76         950060612
03000000007801Z75       18120060612
